ID,Language_ID,Parameter_ID,Value,Source_Language_ID,Inventory_ID,OnlyInLoanwords,Result,NewDistinction,PhonemeComments
1,abau1245,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,tokp1240,1,yes,new phoneme,affricate,
2,abau1245,9F90F95459807624A486F03FE5A89978,t,tokp1240,1,no,phonologization of allophone,no,allophone of /r/ in native phonology
3,abui1241,ECC959553F23387998DAF88D69D7736C,ɡ,"stan1306,indo1316",2,yes,new phoneme,no,Source language: Papuan Malay?
4,abui1241,320B62404207303F61B0F772296C9545,ɟ,"stan1306,indo1316",2,yes,new phoneme,affricate,Source language: Papuan Malay?
5,abui1241,106C7FE93D986D037407524D08F3599A,ts,"stan1306,indo1316",2,yes,new phoneme,affricate,"QUESTION: the author gives /c/ but it is positioned as an affricate, so probably /ts/? Source language: Papuan Malay?"
6,abun1252,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,stan1306,3,yes,new phoneme,affricate,Source language: Papuan Malay?
7,abun1252,E8A9FEC9A1B502D54358B0FE53449BE1,n̠d̠ʒ,stan1306,3,yes,new phoneme,affricate,"prenasalisation is distinctive in Abau, appears as cluster in Malay. Source language: Papuan Malay?"
8,achi1257,86E80A7DA80F7F58CA76F85BACA48F86,f,stan1318,4,yes,new phoneme,no,often as /β/
9,achi1257,9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,,4,no,other distributional change,no,appears in two interjections
10,agua1253,795215076D89B5B17C0D147BE5C341E3,ɾ,"stan1288,huam1247",5,no,new phoneme,"tap, rhotic","there is a native phoneme /ɾ/, attested in very few words mostly onomatopeic which has an allophone /l/. the distinction between /ɾ/ and /l/ is saved in spanish loans. /ɾ/ appears in several names taken from Huambisa. the phoneme /ɾ/ is not associated with historical Chicham rhotic."
11,musa1266,795215076D89B5B17C0D147BE5C341E3,ɾ,tokp1240,6,no,phonologization of allophone,"flap, liquid",allophone of /d/ in native phonology
12,akaj1239,E7FBD92350B3CA8B7B5D77E36A607068,h,anda1280,7,unknown,new phoneme,glottal,"aspirasion is phonemic, language is used only within code-switching"
13,aleu1260,694212B746622E482E0E58D50036100E,b,"russ1263,stan1293",8,yes,new phoneme,voicing in plosives,"in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)"
14,aleu1260,E6253384902D489FDB1FE487B7ED4AB2,d,"russ1263,stan1293",8,yes,new phoneme,voicing in plosives,"alternating individually with the native dental fricative, in older loanwords rendered as /t/"
15,aleu1260,199408E3D0668F10F475143F0E8CC0CB,e,"russ1263,stan1293",8,no,new phoneme,mid vowels,"occurs in native words allophonically, recent borrowing has broadened its distribution"
16,aleu1260,6DD56E3A80E90C3B1F5AC7AC45CE8180,eː,"russ1263,stan1293",8,no,new phoneme,mid vowels,"occurs in native words allophonically, recent borrowing has broadened its distribution"
17,aleu1260,86E80A7DA80F7F58CA76F85BACA48F86,f,"russ1263,stan1293",8,yes,new phoneme,labiodental,"in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)"
18,aleu1260,ECC959553F23387998DAF88D69D7736C,ɡ,"russ1263,stan1293",8,yes,new phoneme,voicing in plosives,"alternating individually with the native velar fricative, in older loanwords rendered as /k/"
19,aleu1260,5AC0158A367D59E8C16A876321E578AB,o,"russ1263,stan1293",8,no,new phoneme,mid vowels,"occurs in native words allophonically, recent borrowing has broadened its distribution"
20,aleu1260,08F6CE9332919F91E699096D433AC8BB,oː,"russ1263,stan1293",8,no,new phoneme,mid vowels,"occurs in native words allophonically, recent borrowing has broadened its distribution"
21,aleu1260,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,"russ1263,stan1293",8,yes,new phoneme,no,in older loanwords rendered as /m/ or /m̥/
22,aleu1260,BF93B485560325B98EACB69D278AD493,ɹ,stan1293,8,yes,new phoneme,rhotic,
23,aleu1260,033ACAA664F151FC56BC9595526BCFA4,v,"russ1263,stan1293",8,yes,new phoneme,labiodental,"in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)"
24,aleu1260,E77FDA2EAABA78B3E55A968B2257CF26,z,russ1263,8,yes,new phoneme,no,Occurs natively in one dialect
25,chal1275,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,"nort2641,stan1318",9,yes,,,
26,chal1275,1FCBA2F74274FF6CBC8636C9BAB66A2F,dˤ,stan1318,9,no,phonologization of allophone,,phoneme in only one loanword
27,chal1275,47291C67010B4DBEAA93DB31BA0ABD0B,ðˤ,stan1318,9,no,phonologization of allophone,,
28,chal1275,86E80A7DA80F7F58CA76F85BACA48F86,f,stan1318,9,yes,,,
29,chal1275,1832D7834F81DD97E33C58D9F70EC5C6,ɣ,stan1318,9,mostly,,,
30,chal1275,C699D862DAE3202097065A59720E60BC,ħ,stan1318,9,mostly,,,
31,chal1275,9351067F8D7BD7BD730B05187DFD1093,pˤ,nort2641,9,unknown,,,
32,chal1275,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,"nort2641,stan1318",9,yes,,,
33,chal1275,033ACAA664F151FC56BC9595526BCFA4,v,nort2641,9,mostly,,,
34,chal1275,5CD0683A71734F676F28F2E766031D42,zˤ,,9,mostly,,,
35,chal1275,DAC6AC8BCA2D24EFF188A7129D280801,ʒ,nort2641,9,no,phonologization of allophone,,a native allophone of /ʃ/
36,chal1275,43038054B0BE9F2E4E4BC72FD557070D,ʕ̞,stan1318,9,mostly,,,
37,amap1240,E7FBD92350B3CA8B7B5D77E36A607068,h,,10,no,other distributional change,no,in native phonology /h/ is rare and appears only before /a/
38,wara1294,694212B746622E482E0E58D50036100E,b,"stan1293,hiri1237",13,yes,new phoneme,no,appears also in ideophones. voiced stops are pre-nasalised in native phonology
39,wara1294,E6253384902D489FDB1FE487B7ED4AB2,d,"stan1293,hiri1237",13,yes,new phoneme,no,voiced stops are pre-nasalised in native phonology
40,wara1294,ECC959553F23387998DAF88D69D7736C,ɡ,"stan1293,hiri1237",13,yes,new phoneme,no,voiced stops are pre-nasalised in native phonology
41,wara1294,03413638BD1DFC7AEF53192FEF71F017,l,"stan1293,hiri1237",13,yes,new phoneme,lateral,
42,lish1245,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,,14,yes,to be checked,to be checked,
43,lish1245,1FCBA2F74274FF6CBC8636C9BAB66A2F,dˤ,,14,yes,to be checked,to be checked,
44,lish1245,86E80A7DA80F7F58CA76F85BACA48F86,f,,14,yes,to be checked,to be checked,
45,lish1245,5CD0683A71734F676F28F2E766031D42,zˤ,,14,yes,to be checked,to be checked,
46,lish1245,DAC6AC8BCA2D24EFF188A7129D280801,ʒ,,14,yes,to be checked,to be checked,
47,stan1288,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,ital1282,15,yes,to be checked,to be checked,
48,stan1288,E77FDA2EAABA78B3E55A968B2257CF26,z,stan1290,15,yes,to be checked,to be checked,imperfect borrowing of /ʒ/
49,asil1242,694212B746622E482E0E58D50036100E,b,"ambo1250,indo1316",16,yes,new phoneme,voicing,voicing may not be distinctive in native phonology
50,asil1242,E6253384902D489FDB1FE487B7ED4AB2,d,"ambo1250,indo1316",16,yes,new phoneme,voicing,voicing may not be distinctive in native phonology
51,asil1242,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,"ambo1250,indo1316",16,yes,new phoneme,affricate,
52,asil1242,ECC959553F23387998DAF88D69D7736C,ɡ,"ambo1250,indo1316",16,yes,new phoneme,voicing,voicing may not be distinctive in native phonology
53,asil1242,941ED37AAF5E9C4E1B40D85008C6B2D9,ŋ,"ambo1250,indo1316",16,yes,new phoneme,no,
54,asil1242,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,"ambo1250,indo1316",16,yes,new phoneme,affricate,
55,awiy1238,9F90F95459807624A486F03FE5A89978,t,,17,unknown,to be checked,to be checked,"(free,loan) spaAllophoneDescription: [s]"
56,bafu1246,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,stan1293,18,no,to be checked,to be checked,"restricted distribution as an allophone of /l/ intervocally. Few words containing [r] are attested in the speech of a few educated speakers. These, I think, are words that are not yet fully integrated into the sound system of the language. In most words, /r/ in loanwords appears as [l]. does [r] occur in the relevant english variety? Source language uncertain"
57,bamb1262,73C29ACCE17EFB4239E53D799AD7C696,t̠ʃʼ,stan1318,19,yes,new phoneme,to be checked,no other affricates.
58,bash1264,199408E3D0668F10F475143F0E8CC0CB,e,,20,yes,other distributional change,unknown,
59,bash1264,86E80A7DA80F7F58CA76F85BACA48F86,f,,20,yes,new phoneme,unknown,
60,bash1264,55C328C4539D138964636333EABA3949,ɔ,,20,yes,other distributional change,unknown,
61,bash1264,106C7FE93D986D037407524D08F3599A,ts,,20,yes,other distributional change,unknown,
62,bash1264,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,,20,yes,other distributional change,unknown,
63,bash1264,033ACAA664F151FC56BC9595526BCFA4,v,,20,yes,other distributional change,unknown,
64,bash1264,E77FDA2EAABA78B3E55A968B2257CF26,z,,20,yes,other distributional change,unknown,
65,bash1264,DAC6AC8BCA2D24EFF188A7129D280801,ʒ,,20,yes,other distributional change,unknown,
66,basq1248,24934115EB451EB20C91AC9D2AD62537,χ,,21,yes,to be checked,to be checked,(loan)
67,assy1241,86E80A7DA80F7F58CA76F85BACA48F86,f,,22,yes,to be checked,to be checked,
68,assy1241,033ACAA664F151FC56BC9595526BCFA4,v,,22,yes,to be checked,to be checked,
69,bela1254,86E80A7DA80F7F58CA76F85BACA48F86,f,russ1263,23,yes,new phoneme,unknown,
70,bela1254,94AD2B51FB011E032DC3E695DB412F3D,fʲ,russ1263,23,yes,new phoneme,unknown,
71,beng1280,7FF174469DAC4E61520F4E1610B2F088,s,,24,unknown,to be checked,to be checked,"(allo,restricted,loan)"
72,lish1247,9520632C5C6A9154D2A5142D6BA024CE,bˤ,,25,yes,to be checked,to be checked,
73,lish1247,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,,25,yes,to be checked,to be checked,
74,lish1247,1FCBA2F74274FF6CBC8636C9BAB66A2F,dˤ,,25,yes,to be checked,to be checked,
75,lish1247,47291C67010B4DBEAA93DB31BA0ABD0B,ðˤ,,25,yes,to be checked,to be checked,
76,lish1247,86E80A7DA80F7F58CA76F85BACA48F86,f,,25,yes,to be checked,to be checked,
77,lish1247,9351067F8D7BD7BD730B05187DFD1093,pˤ,,25,yes,to be checked,to be checked,
78,lish1247,B8654231A8D23801B38D10EE554ACBD5,ʁ,,25,yes,to be checked,to be checked,
79,lish1247,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,,25,yes,to be checked,to be checked,
80,lish1247,033ACAA664F151FC56BC9595526BCFA4,v,,25,yes,to be checked,to be checked,
81,lish1247,5CD0683A71734F676F28F2E766031D42,zˤ,,25,yes,to be checked,to be checked,
82,lish1247,DAC6AC8BCA2D24EFF188A7129D280801,ʒ,,25,yes,to be checked,to be checked,
83,bett1235,E6253384902D489FDB1FE487B7ED4AB2,d,,26,yes,other distributional change,unknown,
84,bett1235,86E80A7DA80F7F58CA76F85BACA48F86,f,,26,yes,other distributional change,unknown,
85,biak1248,03413638BD1DFC7AEF53192FEF71F017,l,indo1316,27,no,to be checked,to be checked,"In loanwords, but also as a variant of /r/ for special pragmatic effects in contexts of playing games or allusions to sexual intercourse"
86,biak1248,9F90F95459807624A486F03FE5A89978,t,,27,no,to be checked,to be checked,"Very infrequent, occurs mostly in loanwords. Some elder speakers accommodate loanword [t] as [s]. Younger generations are fluent in Indonesian which has /t/."
87,bier1244,86E80A7DA80F7F58CA76F85BACA48F86,f,bisl1239,28,yes,new phoneme,labiodental,
88,bier1244,E7FBD92350B3CA8B7B5D77E36A607068,h,bisl1239,28,yes,new phoneme,glottal,
89,bier1244,033ACAA664F151FC56BC9595526BCFA4,v,bisl1239,28,yes,new phoneme,labiodental,
90,boht1238,86E80A7DA80F7F58CA76F85BACA48F86,f,"nort2641,stan1318",29,yes,to be checked,to be checked,
91,boht1238,5A838FF4DABE1950734CFAFAB9383903,k,nort2641,29,yes,phonologization of allophone,to be checked,"unaspirated k is found only in Kurdish loanwords, but the /k/ phoneme also shows a lot of variation, and an unaspirated [k] is one of its realizations"
92,boht1238,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,nort2641,29,no,other distributional change,to be checked,
93,bret1244,C8E200405D83F3D806F98BC041341BA0,ɛ̃ː,,30,yes,to be checked,to be checked,(loan)
94,bulg1262,17B1CFA69C0C6AB5362FFDB585C0C7DC,dz,,31,unknown,to be checked,to be checked,"(limited,loan,allo)"
95,nucl1310,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,pali1273,32,yes,new phoneme,unknown,
96,buru1296,86E80A7DA80F7F58CA76F85BACA48F86,f,,33,unknown,to be checked,to be checked,"(loan,free)"
97,buru1296,24934115EB451EB20C91AC9D2AD62537,χ,,33,unknown,to be checked,to be checked,"(loan,free)"
98,cahu1264,86E80A7DA80F7F58CA76F85BACA48F86,f,stan1288,34,yes,to be checked,unknown,
99,stan1288,9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,stan1293,35,yes,other distributional change,unknown,
100,cent2142,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,stan1288,36,yes,new phoneme,trill,
101,cent2142,1214D761CC44F5F017FD63EA26B45B4B,r̝,"stan1288,nort2976",36,no,phonologization of allophone,trill,defined as 'voiced sibilant trill'. Appears also as an allophone of native /ɾ/ in the environment of /s/. Source reports Quechua. We chose nort2976 because of proximity.
102,cent2050,F62AFB705D2A2D30BB41CF3FBE917891,x,,37,yes,to be checked,to be checked,(loan)
103,nort2697,5A838FF4DABE1950734CFAFAB9383903,k,,38,yes,to be checked,to be checked,
104,lish1247,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,stan1318,39,yes,to be checked,to be checked,
105,lish1247,86E80A7DA80F7F58CA76F85BACA48F86,f,"nort2641,stan1318",39,yes,to be checked,to be checked,
106,lish1247,C699D862DAE3202097065A59720E60BC,ħ,"stan1318,hebr1245",39,yes,new phoneme,pharyngeal,
107,lish1247,B8654231A8D23801B38D10EE554ACBD5,ʁ,stan1318,39,yes,phonologization of allophone,to be checked,
108,lish1247,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,"nort2641,nucl1301",39,mostly,other distributional change,to be checked,
109,lish1247,033ACAA664F151FC56BC9595526BCFA4,v,"nort2641,hebr1245",39,yes,to be checked,to be checked,
110,lish1247,DAC6AC8BCA2D24EFF188A7129D280801,ʒ,nort2641,39,yes,to be checked,to be checked,
111,lish1247,55F94F929CDB58CDE9BE8333787E3A31,ʕ,"stan1318,hebr1245",39,yes,new phoneme,pharyngeal,
112,cher1273,694212B746622E482E0E58D50036100E,b,stan1288,40,yes,new phoneme,no,in other loans it was substituted with [w]
113,cher1273,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,stan1288,40,yes,new phoneme,no,in other loans it was substituted with [w]
114,halk1245,694212B746622E482E0E58D50036100E,b,stan1293,41,yes,new phoneme,to be checked,Found only in ad hoc borrowings (code-switches)
115,halk1245,5A838FF4DABE1950734CFAFAB9383903,k,,41,yes,new phoneme,no,Found only in borrowings
116,halk1245,B9C749831BC59B5585B5AE2159F32788,kʼ,,41,yes,new phoneme,no,Found only in borrowings
117,halk1245,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,stan1293,41,yes,new phoneme,to be checked,Found only in ad hoc borrowings (code-switches)
118,halk1245,ECADEF8DC1141DC0002DA207736CC234,ɽ,stan1293,41,yes,new phoneme,to be checked,Found only in ad hoc borrowings (code-switches)
119,chim1300,86E80A7DA80F7F58CA76F85BACA48F86,f,stan1288,42,mostly,new phoneme,no,Only one native word
120,chiq1250,694212B746622E482E0E58D50036100E,b,,43,yes,to be checked,to be checked,(loan)
121,chiq1250,C74BECEC6C9DBC95D2C92E893F72A8AD,ð,,43,yes,to be checked,to be checked,(loan)
122,chiq1250,1832D7834F81DD97E33C58D9F70EC5C6,ɣ,,43,yes,to be checked,to be checked,(loan)
123,chiq1250,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,,43,yes,to be checked,to be checked,(loan)
124,chiq1250,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,,43,yes,to be checked,to be checked,(loan)
125,chol1282,E6253384902D489FDB1FE487B7ED4AB2,d,stan1288,44,yes,new phoneme,no,
126,chol1282,86E80A7DA80F7F58CA76F85BACA48F86,f,stan1288,44,yes,new phoneme,no,
127,chol1282,ECC959553F23387998DAF88D69D7736C,ɡ,stan1288,44,yes,new phoneme,no,
128,chol1282,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,stan1288,44,yes,phonologization of allophone,no,
129,chol1282,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,stan1288,44,yes,new phoneme,no,
130,chol1282,9F90F95459807624A486F03FE5A89978,t,stan1288,44,yes,phonologization of allophone,no,
131,chol1284,694212B746622E482E0E58D50036100E,b,stan1288,45,yes,new phoneme,to be checked,no previous voiced stops
132,chol1284,E6253384902D489FDB1FE487B7ED4AB2,d,stan1288,45,yes,new phoneme,to be checked,no previous voiced stops
133,chol1284,86E80A7DA80F7F58CA76F85BACA48F86,f,stan1288,45,yes,new phoneme,no,
134,chol1284,ECC959553F23387998DAF88D69D7736C,ɡ,stan1288,45,yes,new phoneme,to be checked,no previous voiced stops
135,chol1284,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,stan1288,45,yes,new phoneme,to be checked,
136,chuv1255,694212B746622E482E0E58D50036100E,b,russ1263,47,yes,other distributional change,unknown,
137,chuv1255,198E3EBE25854A256D6C67EF286FA260,d̪,russ1263,47,yes,other distributional change,unknown,
138,chuv1255,86E80A7DA80F7F58CA76F85BACA48F86,f,russ1263,47,yes,other distributional change,unknown,
139,chuv1255,ECC959553F23387998DAF88D69D7736C,ɡ,russ1263,47,yes,other distributional change,unknown,
140,chuv1255,5AC0158A367D59E8C16A876321E578AB,o,russ1263,47,yes,other distributional change,unknown,
141,chuv1255,106C7FE93D986D037407524D08F3599A,ts,russ1263,47,yes,other distributional change,unknown,
142,chuv1255,E77FDA2EAABA78B3E55A968B2257CF26,z,russ1263,47,yes,other distributional change,unknown,
143,chuv1255,9EBF00B0DFB3E7F964B97DB54E9A36FD,ʐ,russ1263,47,yes,other distributional change,unknown,
144,coat1238,694212B746622E482E0E58D50036100E,b,stan1288,48,no,phonologization of allophone,no,"Voiced stops are allophonic intervocalically in the native lexicon, but borrowings have evidently made these contrastive."
145,coat1238,E6253384902D489FDB1FE487B7ED4AB2,d,stan1288,48,no,phonologization of allophone,no,"Voiced stops are allophonic intervocalically in the native lexicon, but borrowings have evidently made these contrastive."
146,coat1238,ECC959553F23387998DAF88D69D7736C,ɡ,stan1288,48,no,phonologization of allophone,no,"Voiced stops are allophonic intervocalically in the native lexicon, but borrowings have evidently made these contrastive."
147,coco1260,E7FBD92350B3CA8B7B5D77E36A607068,h,"stan1293,stan1318",49,yes,new phoneme,no,Phoneme is uncommon. Author mentions influence of standard Indonesian and English
148,coco1260,033ACAA664F151FC56BC9595526BCFA4,v,stan1293,49,yes,new phoneme,no,Phoneme is uncommon. Author mentions influence of standard Indonesian and English
149,coco1260,E77FDA2EAABA78B3E55A968B2257CF26,z,"stan1293,stan1318",49,yes,new phoneme,no,Phoneme is uncommon. Author mentions influence of standard Indonesian and English
150,copa1236,694212B746622E482E0E58D50036100E,b,,50,unknown,to be checked,to be checked,"(allo,loan)"
151,copa1236,E6253384902D489FDB1FE487B7ED4AB2,d,,50,unknown,to be checked,to be checked,"(allo,loan)"
152,copa1236,86E80A7DA80F7F58CA76F85BACA48F86,f,,50,yes,to be checked,to be checked,(loan)
153,copa1236,ECC959553F23387998DAF88D69D7736C,ɡ,,50,unknown,to be checked,to be checked,"(allo,loan)"
154,copa1236,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,,50,yes,to be checked,to be checked,(loan)
155,copa1236,795215076D89B5B17C0D147BE5C341E3,ɾ,,50,yes,to be checked,to be checked,(loan)
156,copt1239,E6253384902D489FDB1FE487B7ED4AB2,d,mode1248,51,yes,to be checked,to be checked,Coptic did not have voice distinctions in obstruents.
